;;;;;;;;;;;;
Capacidad Instlada;;;;;;;;;;;;
País;Año;Descripción;Dato;Unidad;;;;;;;;
Argentina;2000;Hidro;9602,15;MW;;;;;;;;
Argentina;2000;Térmica no renovable;11991,93;MW;;;;;;;;
Argentina;2000;Nuclear;1018,00;MW;;;;;;;;
Argentina;2000;Geotermia;;MW;;;;;;;;
Argentina;2000;Eólica;14,00;MW;;;;;;;;
Argentina;2000;Solar;0,00;MW;;;;;;;;
Argentina;2000;Otros;;MW;;;;;;;;
Argentina;2000;Térmica renovable;;MW;;;;;;;;
Barbados;2000;Hidro;;MW;;;;;;;;
Barbados;2000;Térmica no renovable;165,50;MW;;;;;;;;
Barbados;2000;Nuclear;;MW;;;;;;;;
Barbados;2000;Geotermia;;MW;;;;;;;;
Barbados;2000;Eólica;;MW;;;;;;;;
Barbados;2000;Solar;;MW;;;;;;;;
Barbados;2000;Otros;;MW;;;;;;;;
Barbados;2000;Térmica renovable;;MW;;;;;;;;
Bolivia;2000;Hidro;375,90;MW;;;;;;;;
Bolivia;2000;Térmica no renovable;949,01;MW;;;;;;;;
Bolivia;2000;Nuclear;;MW;;;;;;;;
Bolivia;2000;Geotermia;;MW;;;;;;;;
Bolivia;2000;Eólica;0,00;MW;;;;;;;;
Bolivia;2000;Solar;0,00;MW;;;;;;;;
Bolivia;2000;Otros;;MW;;;;;;;;
Bolivia;2000;Térmica renovable;0,00;MW;;;;;;;;
Brasil;2000;Hidro;61063,00;MW;;;;;;;;
Brasil;2000;Térmica no renovable;8673,58;MW;;;;;;;;
Brasil;2000;Nuclear;1966,00;MW;;;;;;;;
Brasil;2000;Geotermia;;MW;;;;;;;;
Brasil;2000;Eólica;19,03;MW;;;;;;;;
Brasil;2000;Solar;0,00;MW;;;;;;;;
Brasil;2000;Otros;;MW;;;;;;;;
Brasil;2000;Térmica renovable;1949,42;MW;;;;;;;;
Chile;2000;Hidro;4346,84;MW;;;;;;;;
Chile;2000;Térmica no renovable;4855,00;MW;;;;;;;;
Chile;2000;Nuclear;0,00;MW;;;;;;;;
Chile;2000;Geotermia;0,00;MW;;;;;;;;
Chile;2000;Eólica;0,00;MW;;;;;;;;
Chile;2000;Solar;0,00;MW;;;;;;;;
Chile;2000;Otros;0,00;MW;;;;;;;;
Chile;2000;Térmica renovable;25,70;MW;;;;;;;;
Colombia;2000;Hidro;8274,67;MW;;;;;;;;
Colombia;2000;Térmica no renovable;4449,00;MW;;;;;;;;
Colombia;2000;Nuclear;;MW;;;;;;;;
Colombia;2000;Geotermia;;MW;;;;;;;;
Colombia;2000;Eólica;;MW;;;;;;;;
Colombia;2000;Solar;;MW;;;;;;;;
Colombia;2000;Otros;;MW;;;;;;;;
Colombia;2000;Térmica renovable;13,00;MW;;;;;;;;
Costa Rica;2000;Hidro;1267,92;MW;;;;;;;;
Costa Rica;2000;Térmica no renovable;274,19;MW;;;;;;;;
Costa Rica;2000;Nuclear;0,00;MW;;;;;;;;
Costa Rica;2000;Geotermia;144,97;MW;;;;;;;;
Costa Rica;2000;Eólica;0,00;MW;;;;;;;;
Costa Rica;2000;Solar;0,00;MW;;;;;;;;
Costa Rica;2000;Otros;0,00;MW;;;;;;;;
Costa Rica;2000;Térmica renovable;12,00;MW;;;;;;;;
Cuba;2000;Hidro;57,40;MW;;;;;;;;
Cuba;2000;Térmica no renovable;3379,20;MW;;;;;;;;
Cuba;2000;Nuclear;;MW;;;;;;;;
Cuba;2000;Geotermia;;MW;;;;;;;;
Cuba;2000;Eólica;0,00;MW;;;;;;;;
Cuba;2000;Solar;0,00;MW;;;;;;;;
Cuba;2000;Otros;;MW;;;;;;;;
Cuba;2000;Térmica renovable;849,90;MW;;;;;;;;
Ecuador;2000;Hidro;1714,62;MW;;;;;;;;
Ecuador;2000;Térmica no renovable;1666,46;MW;;;;;;;;
Ecuador;2000;Nuclear;;MW;;;;;;;;
Ecuador;2000;Geotermia;;MW;;;;;;;;
Ecuador;2000;Eólica;0,00;MW;;;;;;;;
Ecuador;2000;Solar;0,00;MW;;;;;;;;
Ecuador;2000;Otros;;MW;;;;;;;;
Ecuador;2000;Térmica renovable;0,00;MW;;;;;;;;
El Salvador;2000;Hidro;394,70;MW;;;;;;;;
El Salvador;2000;Térmica no renovable;450,40;MW;;;;;;;;
El Salvador;2000;Nuclear;;MW;;;;;;;;
El Salvador;2000;Geotermia;161,20;MW;;;;;;;;
El Salvador;2000;Eólica;;MW;;;;;;;;
El Salvador;2000;Solar;;MW;;;;;;;;
El Salvador;2000;Otros;;MW;;;;;;;;
El Salvador;2000;Térmica renovable;0,00;MW;;;;;;;;
Grenada;2000;Hidro;;MW;;;;;;;;
Grenada;2000;Térmica no renovable;43,11;MW;;;;;;;;
Grenada;2000;Nuclear;;MW;;;;;;;;
Grenada;2000;Geotermia;;MW;;;;;;;;
Grenada;2000;Eólica;;MW;;;;;;;;
Grenada;2000;Solar;;MW;;;;;;;;
Grenada;2000;Otros;;MW;;;;;;;;
Grenada;2000;Térmica renovable;;MW;;;;;;;;
Guatemala;2000;Hidro;480,00;MW;;;;;;;;
Guatemala;2000;Térmica no renovable;718,50;MW;;;;;;;;
Guatemala;2000;Nuclear;;MW;;;;;;;;
Guatemala;2000;Geotermia;28,00;MW;;;;;;;;
Guatemala;2000;Eólica;0,00;MW;;;;;;;;
Guatemala;2000;Solar;0,00;MW;;;;;;;;
Guatemala;2000;Otros;;MW;;;;;;;;
Guatemala;2000;Térmica renovable;166,60;MW;;;;;;;;
Guyana;2000;Hidro;0,50;MW;;;;;;;;
Guyana;2000;Térmica no renovable;233,49;MW;;;;;;;;
Guyana;2000;Nuclear;;MW;;;;;;;;
Guyana;2000;Geotermia;;MW;;;;;;;;
Guyana;2000;Eólica;0,01;MW;;;;;;;;
Guyana;2000;Solar;0,01;MW;;;;;;;;
Guyana;2000;Otros;;MW;;;;;;;;
Guyana;2000;Térmica renovable;24,00;MW;;;;;;;;
Haiti;2000;Hidro;61,86;MW;;;;;;;;
Haiti;2000;Térmica no renovable;177,65;MW;;;;;;;;
Haiti;2000;Nuclear;;MW;;;;;;;;
Haiti;2000;Geotermia;;MW;;;;;;;;
Haiti;2000;Eólica;;MW;;;;;;;;
Haiti;2000;Solar;;MW;;;;;;;;
Haiti;2000;Otros;;MW;;;;;;;;
Haiti;2000;Térmica renovable;;MW;;;;;;;;
Honduras;2000;Hidro;435,20;MW;;;;;;;;
Honduras;2000;Térmica no renovable;483,50;MW;;;;;;;;
Honduras;2000;Nuclear;;MW;;;;;;;;
Honduras;2000;Geotermia;0,00;MW;;;;;;;;
Honduras;2000;Eólica;0,00;MW;;;;;;;;
Honduras;2000;Solar;0,00;MW;;;;;;;;
Honduras;2000;Otros;;MW;;;;;;;;
Honduras;2000;Térmica renovable;1,50;MW;;;;;;;;
Jamaica;2000;Hidro;24,10;MW;;;;;;;;
Jamaica;2000;Térmica no renovable;679,20;MW;;;;;;;;
Jamaica;2000;Nuclear;;MW;;;;;;;;
Jamaica;2000;Geotermia;;MW;;;;;;;;
Jamaica;2000;Eólica;;MW;;;;;;;;
Jamaica;2000;Solar;;MW;;;;;;;;
Jamaica;2000;Otros;;MW;;;;;;;;
Jamaica;2000;Térmica renovable;;MW;;;;;;;;
México;2000;Hidro;9619,16;MW;;;;;;;;
México;2000;Térmica no renovable;24855,56;MW;;;;;;;;
México;2000;Nuclear;1364,88;MW;;;;;;;;
México;2000;Geotermia;854,90;MW;;;;;;;;
México;2000;Eólica;2,18;MW;;;;;;;;
México;2000;Solar;;MW;;;;;;;;
México;2000;Otros;;MW;;;;;;;;
México;2000;Térmica renovable;;MW;;;;;;;;
Nicaragua;2000;Hidro;107,81;MW;;;;;;;;
Nicaragua;2000;Térmica no renovable;444,28;MW;;;;;;;;
Nicaragua;2000;Nuclear;;MW;;;;;;;;
Nicaragua;2000;Geotermia;70,00;MW;;;;;;;;
Nicaragua;2000;Eólica;;MW;;;;;;;;
Nicaragua;2000;Solar;;MW;;;;;;;;
Nicaragua;2000;Otros;;MW;;;;;;;;
Nicaragua;2000;Térmica renovable;27,80;MW;;;;;;;;
Panamá;2000;Hidro;613,10;MW;;;;;;;;
Panamá;2000;Térmica no renovable;638,50;MW;;;;;;;;
Panamá;2000;Nuclear;;MW;;;;;;;;
Panamá;2000;Geotermia;;MW;;;;;;;;
Panamá;2000;Eólica;;MW;;;;;;;;
Panamá;2000;Solar;;MW;;;;;;;;
Panamá;2000;Otros;;MW;;;;;;;;
Panamá;2000;Térmica renovable;;MW;;;;;;;;
Paraguay;2000;Hidro;7410,00;MW;;;;;;;;
Paraguay;2000;Térmica no renovable;6,10;MW;;;;;;;;
Paraguay;2000;Nuclear;;MW;;;;;;;;
Paraguay;2000;Geotermia;;MW;;;;;;;;
Paraguay;2000;Eólica;;MW;;;;;;;;
Paraguay;2000;Solar;;MW;;;;;;;;
Paraguay;2000;Otros;;MW;;;;;;;;
Paraguay;2000;Térmica renovable;;MW;;;;;;;;
Perú;2000;Hidro;2856,83;MW;;;;;;;;
Perú;2000;Térmica no renovable;3208,66;MW;;;;;;;;
