"Municipio","Cantidad","Ubicación","Tipo de Enlace","Georreferenciación","Zona","Tipo de Acceso","Entidad responsable o administradora","Cobertura aproximada","Abcho Banda por ZW"
"Apia","1","Galer√≠a","Radio enlace","(5.10562  -75.94199)","URBANA","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"Apia","1","Parque Principal","Radio enlace","(5.10666  -75.94239)","URBANA","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"Apia","1","Jordan√≠a - Corregimiento O Centro Poblado","Radio enlace","(5.145233  -75.962802)","RURAL","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"Apia","1","Vereda La Mar√¨a - Apia","Radio enlace","(5.12027  -75.94832)","RURAL","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"Balboa","1","Parque Principal","Radio enlace","(4.948996  -75.95797)","URBANA","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"Balboa","1","Hospital - Balboa","Radio enlace","(4.951279  -75.959039)","URBANA","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"Balboa","1","Tambores - Corregimiento O Centro Poblado","Radio enlace","(4.882220  -75.974882)","RURAL","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"Belen de Umbria","1","La Plazuela","Radio enlace","(5.20324  -75.8666)","URBANA","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"Belen de Umbria","1","Parque Principal","Radio enlace","(5.20107  -75.86901)","URBANA","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"Belen de Umbria","1","Patinodromo","Radio enlace","(5.20107  -75.87179)","URBANA","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"Belen de Umbria","1","Taparcal + 1 Ap Extendido","Radio enlace","(5.16855  -75.86167)","RURAL","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"Belen de Umbria","1","Columbia - Corregimiento O Centro Poblado","Radio enlace","(5.216902  -75.821204)","RURAL","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"La Celia","1","Parque Principal","Radio enlace","(5.00433  -76.00248)","URBANA","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"La Celia","1","Campi√±a Hogar Colombiano","Radio enlace","(4.99884  -76.0027)","URBANA","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"La Celia","1","Verdum - Corregimiento O Centro Poblado","Radio enlace","(5.003745  -76.016993)","RURAL","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"La Celia","1","Patio Bonito + 1 Ap Extendido","Radio enlace","(4.99469  -75.97989)","RURAL","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"Dosquebradas","1","Camilo Torres","Fibra","(4.84398  -75.65774)","URBANA","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
"Dosquebradas","1","La Capilla - El Ot√∫n - San Judas","Fibra","(4.81673  -75.68395)","URBANA","Potal cautivo con unico registro","Gobernaci√≥n de Risaralda","2500 MT2","20 MG"
